ContestId,Contest,Candidate_IssueId,Candidate_Issue,Party,PrecinctCode,PrecinctName,EarlyVotes,MailBallotsVotes,ElectionDateVotes,ProvisionalVotes,TotalVotes
6308,MAYOR,25943,Alvin Brown,DEM,703,703,378,133,405,0,916
6308,MAYOR,25943,Alvin Brown,DEM,704,704,254,150,344,1,749
6308,MAYOR,25943,Alvin Brown,DEM,705,705,524,127,502,0,1153
6308,MAYOR,25943,Alvin Brown,DEM,706,706,117,78,243,0,438
6308,MAYOR,25943,Alvin Brown,DEM,707,707,417,180,379,2,978
6308,MAYOR,25943,Alvin Brown,DEM,708,708,95,70,197,0,362
6308,MAYOR,25943,Alvin Brown,DEM,709,709,1069,208,751,0,2028
6308,MAYOR,25943,Alvin Brown,DEM,710,710,888,121,504,0,1513
6308,MAYOR,25943,Alvin Brown,DEM,711,711,103,54,180,6,343
6308,MAYOR,25943,Alvin Brown,DEM,712,712,127,103,259,2,491
6308,MAYOR,25943,Alvin Brown,DEM,713,713,169,171,225,7,572
6308,MAYOR,25943,Alvin Brown,DEM,714,714,182,109,295,2,588
6308,MAYOR,25943,Alvin Brown,DEM,801,801,284,111,359,1,755
6308,MAYOR,25943,Alvin Brown,DEM,802,802,622,165,466,1,1254
6308,MAYOR,25943,Alvin Brown,DEM,803,803,789,162,700,2,1653
6308,MAYOR,25943,Alvin Brown,DEM,804,804,192,90,344,0,626
6308,MAYOR,25943,Alvin Brown,DEM,805,805,343,93,330,0,766
6308,MAYOR,25943,Alvin Brown,DEM,806,806,77,64,161,0,302
6308,MAYOR,25943,Alvin Brown,DEM,807,807,338,92,171,0,601
6308,MAYOR,25943,Alvin Brown,DEM,808,808,201,95,289,0,585
6308,MAYOR,25943,Alvin Brown,DEM,809,809,240,126,300,0,666
6308,MAYOR,25943,Alvin Brown,DEM,810,810,29,9,53,0,91
6308,MAYOR,25943,Alvin Brown,DEM,811,811,163,57,272,0,492
6308,MAYOR,25943,Alvin Brown,DEM,812,812,140,74,228,0,442
6308,MAYOR,25943,Alvin Brown,DEM,813,813,632,149,632,0,1413
6308,MAYOR,25943,Alvin Brown,DEM,814,814,67,61,116,1,245
6308,MAYOR,25943,Alvin Brown,DEM,815,815,167,117,310,2,596
6308,MAYOR,25943,Alvin Brown,DEM,816,816,64,25,107,0,196
6308,MAYOR,25943,Alvin Brown,DEM,817,817,351,103,423,1,878
6308,MAYOR,25943,Alvin Brown,DEM,818,818,186,45,197,0,428
6308,MAYOR,25943,Alvin Brown,DEM,901,901,178,102,311,0,591
6308,MAYOR,25943,Alvin Brown,DEM,902,902,322,223,440,2,987
6308,MAYOR,25943,Alvin Brown,DEM,903,903,144,85,230,0,459
6308,MAYOR,25943,Alvin Brown,DEM,904,904,380,156,524,0,1060
6308,MAYOR,25943,Alvin Brown,DEM,905,905,195,71,162,0,428
6308,MAYOR,25943,Alvin Brown,DEM,906,906,57,64,89,1,211
6308,MAYOR,25943,Alvin Brown,DEM,907,907,55,42,137,0,234
6308,MAYOR,25943,Alvin Brown,DEM,908,908,146,104,266,0,516
6308,MAYOR,25943,Alvin Brown,DEM,909,909,106,58,267,1,432
6308,MAYOR,25943,Alvin Brown,DEM,910,910,189,114,399,0,702
6308,MAYOR,25943,Alvin Brown,DEM,911,911,237,153,467,2,859
6308,MAYOR,25943,Alvin Brown,DEM,912,912,120,61,216,2,399
6308,MAYOR,25943,Alvin Brown,DEM,913,913,134,55,160,0,349
6308,MAYOR,25943,Alvin Brown,DEM,914,914,209,97,313,1,620
6308,MAYOR,25943,Alvin Brown,DEM,1001,Precinct 1001,611,216,519,0,1346
6308,MAYOR,25943,Alvin Brown,DEM,1002,Precinct 1002,576,268,566,1,1411
6308,MAYOR,25943,Alvin Brown,DEM,1003,Precinct 1003,302,147,313,1,763
6308,MAYOR,25943,Alvin Brown,DEM,1004,Precinct 1004,519,199,535,2,1255
6308,MAYOR,25943,Alvin Brown,DEM,1005,Precinct 1005,886,287,511,0,1684
6308,MAYOR,25943,Alvin Brown,DEM,1006,Precinct 1006,65,35,156,0,256
6308,MAYOR,25943,Alvin Brown,DEM,1007,Precinct 1007,48,44,92,0,184
6308,MAYOR,25943,Alvin Brown,DEM,1008,Precinct 1008,266,131,393,0,790
6308,MAYOR,25943,Alvin Brown,DEM,1009,Precinct 1009,206,84,248,0,538
6308,MAYOR,25943,Alvin Brown,DEM,1010,Precinct 1010,135,55,174,0,364
6308,MAYOR,25943,Alvin Brown,DEM,1011,Precinct 1011,27,38,81,1,147
6308,MAYOR,25943,Alvin Brown,DEM,1012,Precinct 1012,236,83,306,0,625
6308,MAYOR,25943,Alvin Brown,DEM,1013,Precinct 1013,38,31,134,0,203
6308,MAYOR,25943,Alvin Brown,DEM,1014,Precinct 1014,259,101,366,1,727
6308,MAYOR,25943,Alvin Brown,DEM,1015,Precinct 1015,177,68,271,0,516
6308,MAYOR,25943,Alvin Brown,DEM,1016,Precinct 1016,85,34,202,0,321
6308,MAYOR,25943,Alvin Brown,DEM,1101,Precinct 1101,40,20,88,1,149
6308,MAYOR,25943,Alvin Brown,DEM,1102,Precinct 1102,1,12,48,0,61
6308,MAYOR,25943,Alvin Brown,DEM,1103,Precinct 1103,105,55,195,0,355
6308,MAYOR,25943,Alvin Brown,DEM,1104,Precinct 1104,95,103,169,0,367
6308,MAYOR,25943,Alvin Brown,DEM,1105,Precinct 1105,108,51,151,1,311
6308,MAYOR,25943,Alvin Brown,DEM,1106,Precinct 1106,245,229,247,0,721
6308,MAYOR,25943,Alvin Brown,DEM,1107,Precinct 1107,40,42,109,0,191
6308,MAYOR,25943,Alvin Brown,DEM,1108,Precinct 1108,104,86,210,0,400
6308,MAYOR,25943,Alvin Brown,DEM,1109,Precinct 1109,53,43,127,0,223
6308,MAYOR,25943,Alvin Brown,DEM,1110,Precinct 1110,85,104,143,0,332
6308,MAYOR,25943,Alvin Brown,DEM,1111,Precinct 1111,66,45,112,0,223
6308,MAYOR,25943,Alvin Brown,DEM,1112,Precinct 1112,137,75,86,0,298
6308,MAYOR,25943,Alvin Brown,DEM,1113,Precinct 1113,95,84,160,0,339
6308,MAYOR,25943,Alvin Brown,DEM,1114,Precinct 1114,106,96,74,0,276
6308,MAYOR,25943,Alvin Brown,DEM,1115,Precinct 1115,129,100,127,0,356
6308,MAYOR,25943,Alvin Brown,DEM,1201,Precinct 1201,90,69,169,1,329
6308,MAYOR,25943,Alvin Brown,DEM,1202,Precinct 1202,146,56,158,0,360
6308,MAYOR,25943,Alvin Brown,DEM,1203,Precinct 1203,27,17,56,0,100
6308,MAYOR,25943,Alvin Brown,DEM,1204,Precinct 1204,53,38,67,0,158
6308,MAYOR,25943,Alvin Brown,DEM,1205,Precinct 1205,231,102,324,0,657
6308,MAYOR,25943,Alvin Brown,DEM,1206,Precinct 1206,236,65,342,0,643
6308,MAYOR,25943,Alvin Brown,DEM,1207,Precinct 1207,14,11,114,0,139
6308,MAYOR,25943,Alvin Brown,DEM,1208,Precinct 1208,161,75,298,0,534
6308,MAYOR,25943,Alvin Brown,DEM,1209,Precinct 1209,125,47,186,0,358
6308,MAYOR,25943,Alvin Brown,DEM,1210,Precinct 1210,117,51,167,1,336
6308,MAYOR,25943,Alvin Brown,DEM,1211,Precinct 1211,226,58,203,1,488
